jsp	line	body	candidate_sysop_html	candidate_front_html	exists_sysop	exists_front
public_html\tutor\tutor_list.jsp	49	tutor.tutor_list	public_html\\sysop\\html\\tutor\\tutor_list.html	public_html\\html\\tutor\\tutor_list.html	False	True
public_html\player\webtvplayer.jsp	79	player.webtvplayer	public_html\\sysop\\html\\player\\webtvplayer.html	public_html\\html\\player\\webtvplayer.html	False	True
public_html\player\jwplayer.jsp	81	player.jwplayer	public_html\\sysop\\html\\player\\jwplayer.html	public_html\\html\\player\\jwplayer.html	False	True
public_html\sysop\code\code_tree.jsp	21	code.code_tree	public_html\\sysop\\html\\code\\code_tree.html	public_html\\html\\code\\code_tree.html	True	False
public_html\sysop\code\code_modify.jsp	85	code.code_insert	public_html\\sysop\\html\\code\\code_insert.html	public_html\\html\\code\\code_insert.html	True	False
public_html\mobile\post_modify.jsp	83	mobile.post_insert	public_html\\sysop\\html\\mobile\\post_insert.html	public_html\\html\\mobile\\post_insert.html	False	True
public_html\sysop\code\code_list.jsp	8	code.code_list	public_html\\sysop\\html\\code\\code_list.html	public_html\\html\\code\\code_list.html	True	False
public_html\mobile\post_main_list.jsp	59	mobile.post_main_list	public_html\\sysop\\html\\mobile\\post_main_list.html	public_html\\html\\mobile\\post_main_list.html	False	True
public_html\sysop\code\code_insert.jsp	87	code.code_insert	public_html\\sysop\\html\\code\\code_insert.html	public_html\\html\\code\\code_insert.html	True	False
public_html\mobile\webtv_view.jsp	179	mobile.webtv_view	public_html\\sysop\\html\\mobile\\webtv_view.html	public_html\\html\\mobile\\webtv_view.html	False	True
public_html\mobile\post_insert.jsp	133	mobile.post_insert	public_html\\sysop\\html\\mobile\\post_insert.html	public_html\\html\\mobile\\post_insert.html	False	True
public_html\mobile\webtv_main_recent_list.jsp	79	mobile.webtv_main_recent_list	public_html\\sysop\\html\\mobile\\webtv_main_recent_list.html	public_html\\html\\mobile\\webtv_main_recent_list.html	False	True
public_html\mobile\webtv_main_live.jsp	29	mobile.webtv_main_live	public_html\\sysop\\html\\mobile\\webtv_main_live.html	public_html\\html\\mobile\\webtv_main_live.html	False	False
public_html\mobile\webtv_list.jsp	132	mobile.webtv_list	public_html\\sysop\\html\\mobile\\webtv_list.html	public_html\\html\\mobile\\webtv_list.html	False	True
public_html\mobile\popup.jsp	21	mobile.popup	public_html\\sysop\\html\\mobile\\popup.html	public_html\\html\\mobile\\popup.html	False	True
public_html\mobile\webtv_calendar.jsp	64	mobile.webtv_calendar	public_html\\sysop\\html\\mobile\\webtv_calendar.html	public_html\\html\\mobile\\webtv_calendar.html	False	True
public_html\member\zipcode.jsp	5	member.zipcode	public_html\\sysop\\html\\member\\zipcode.html	public_html\\html\\member\\zipcode.html	False	True
public_html\mobile\playlist_view.jsp	110	mobile.webtv_view	public_html\\sysop\\html\\mobile\\webtv_view.html	public_html\\html\\mobile\\webtv_view.html	False	True
public_html\member\sysop_slogin.jsp	9	member.sysop_slogin	public_html\\sysop\\html\\member\\sysop_slogin.html	public_html\\html\\member\\sysop_slogin.html	False	True
public_html\mobile\playlist_main_list.jsp	67	mobile.playlist_main_list	public_html\\sysop\\html\\mobile\\playlist_main_list.html	public_html\\html\\mobile\\playlist_main_list.html	False	False
public_html\member\slogin_test.jsp	86	member.slogin_test	public_html\\sysop\\html\\member\\slogin_test.html	public_html\\html\\member\\slogin_test.html	False	True
public_html\mobile\sms_auth.jsp	124	mobile.sms_auth	public_html\\sysop\\html\\mobile\\sms_auth.html	public_html\\html\\mobile\\sms_auth.html	False	True
public_html\mobile\playlist_list.jsp	116	mobile.webtv_list	public_html\\sysop\\html\\mobile\\webtv_list.html	public_html\\html\\mobile\\webtv_list.html	False	True
public_html\mobile\schedule_view.jsp	21	schedule.schedule_view	public_html\\sysop\\html\\schedule\\schedule_view.html	public_html\\html\\schedule\\schedule_view.html	False	True
public_html\mobile\schedule.jsp	59	mobile.schedule	public_html\\sysop\\html\\mobile\\schedule.html	public_html\\html\\mobile\\schedule.html	False	True
public_html\mobile\payment_complete.jsp	59	mobile.payment_complete	public_html\\sysop\\html\\mobile\\payment_complete.html	public_html\\html\\mobile\\payment_complete.html	False	True
public_html\member\sleep_awake.jsp	178	member.sleep_awake	public_html\\sysop\\html\\member\\sleep_awake.html	public_html\\html\\member\\sleep_awake.html	False	True
public_html\mobile\page.jsp	19	mobile.page	public_html\\sysop\\html\\mobile\\page.html	public_html\\html\\mobile\\page.html	False	True
public_html\mobile\recent_list.jsp	59	mobile.course_main_list	public_html\\sysop\\html\\mobile\\course_main_list.html	public_html\\html\\mobile\\course_main_list.html	False	True
public_html\member\privacy_agree.jsp	116	member.privacy_agree	public_html\\sysop\\html\\member\\privacy_agree.html	public_html\\html\\member\\privacy_agree.html	False	True
public_html\mobile\order_view.jsp	274	mobile.order_view	public_html\\sysop\\html\\mobile\\order_view.html	public_html\\html\\mobile\\order_view.html	False	True
public_html\sysop\certificate\template_modify.jsp	117	certificate.template_insert	public_html\\sysop\\html\\certificate\\template_insert.html	public_html\\html\\certificate\\template_insert.html	True	False
public_html\mobile\order_list.jsp	46	mobile.order_list	public_html\\sysop\\html\\mobile\\order_list.html	public_html\\html\\mobile\\order_list.html	False	True
public_html\member\otpkey_register.jsp	139	main.otpkey_register	public_html\\sysop\\html\\main\\otpkey_register.html	public_html\\html\\main\\otpkey_register.html	True	False
public_html\sysop\certificate\template_list.jsp	52	certificate.template_list	public_html\\sysop\\html\\certificate\\template_list.html	public_html\\html\\certificate\\template_list.html	True	False
public_html\mobile\privacy_agree.jsp	83	mobile.privacy_agree	public_html\\sysop\\html\\mobile\\privacy_agree.html	public_html\\html\\mobile\\privacy_agree.html	False	True
public_html\mobile\post_view.jsp	158	mobile.post_view	public_html\\sysop\\html\\mobile\\post_view.html	public_html\\html\\mobile\\post_view.html	False	True
public_html\sysop\certificate\template_insert.jsp	76	certificate.template_insert	public_html\\sysop\\html\\certificate\\template_insert.html	public_html\\html\\certificate\\template_insert.html	True	False
public_html\member\login_naver.jsp	49	member.login_reauth	public_html\\sysop\\html\\member\\login_reauth.html	public_html\\html\\member\\login_reauth.html	False	True
public_html\member\login_kakao.jsp	68	member.login_reauth	public_html\\sysop\\html\\member\\login_reauth.html	public_html\\html\\member\\login_reauth.html	False	True
public_html\member\login_kakao.jsp	149	member.login_reauth	public_html\\sysop\\html\\member\\login_reauth.html	public_html\\html\\member\\login_reauth.html	False	True
public_html\member\login_google.jsp	50	member.login_reauth	public_html\\sysop\\html\\member\\login_reauth.html	public_html\\html\\member\\login_reauth.html	False	True
public_html\member\login_facebook.jsp	50	member.login_reauth	public_html\\sysop\\html\\member\\login_reauth.html	public_html\\html\\member\\login_reauth.html	False	True
public_html\member\login_box.jsp	20	main.login_box	public_html\\sysop\\html\\main\\login_box.html	public_html\\html\\main\\login_box.html	False	True
public_html\member\login.jsp	263	member.login	public_html\\sysop\\html\\member\\login.html	public_html\\html\\member\\login.html	False	True
public_html\member\find.jsp	268	member.find	public_html\\sysop\\html\\member\\find.html	public_html\\html\\member\\find.html	False	True
public_html\member\auth2.jsp	190	member.auth2	public_html\\sysop\\html\\member\\auth2.html	public_html\\html\\member\\auth2.html	False	True
public_html\sysop\category\category_tree.jsp	15	category.category_tree	public_html\\sysop\\html\\category\\category_tree.html	public_html\\html\\category\\category_tree.html	True	False
public_html\member\clause.jsp	8	member.clause	public_html\\sysop\\html\\member\\clause.html	public_html\\html\\member\\clause.html	False	True
public_html\sysop\category\category_modify.jsp	63	category.category_insert	public_html\\sysop\\html\\category\\category_insert.html	public_html\\html\\category\\category_insert.html	True	False
public_html\sysop\category\category_list.jsp	6	category.category_list	public_html\\sysop\\html\\category\\category_list.html	public_html\\html\\category\\category_list.html	True	False
public_html\sysop\category\category_insert.jsp	48	category.category_insert	public_html\\sysop\\html\\category\\category_insert.html	public_html\\html\\category\\category_insert.html	True	False
public_html\sysop\word\list.jsp	58	word.list	public_html\\sysop\\html\\word\\list.html	public_html\\html\\word\\list.html	True	False
public_html\sysop\word\insert.jsp	38	word.insert	public_html\\sysop\\html\\word\\insert.html	public_html\\html\\word\\insert.html	True	False
